title,uri,hosting,description
selected resources,https://pauldougan.github.io,GitHub Pages,Some useful resources
pauldougan/tdt-documentation,https://pauldougan-tdt-documentation.netlify.app,Netlify,Hosted version to tdt-documentation docs because the hosted version on GOV.UK PaaS was deprecated.
